method,dimensions,repeat,contributing_rows,valid_rows,positive_similarity,positive_similarity_std,positive_similarity_count,negative_similarity,negative_similarity_std,negative_similarity_count,similarity_gap,similarity_gap_std,similarity_gap_count,retrieval_voxel_hit,retrieval_voxel_hit_std,retrieval_voxel_hit_count,retrieval_hit_distance,retrieval_hit_distance_std,retrieval_hit_distance_count,retrieval_world_error_mean,retrieval_world_error_mean_std,retrieval_world_error_mean_count,retrieval_world_error_median,retrieval_world_error_median_std,retrieval_world_error_median_count,status
random,128,42,5,5,0.8641733927880564,0.02876615087764719,5,0.6820807014394076,0.05058494658502438,5,0.18319186812723706,0.03298693091580459,5,0.2677070809579777,0.07681069938046416,5,0.4066000422511843,0.09394584097612588,5,0.2937150417930685,0.07836489328593667,5,0.20659525086081798,0.07744542807233327,5,ok
random,128,43,5,5,0.8392224406234681,0.02174029427017847,5,0.6791810051658743,0.01581741346350461,5,0.16110705021943833,0.02793292905782026,5,0.24691593897755518,0.07496961163020893,5,0.3699712559270914,0.08765139802266496,5,0.3169986459845138,0.07600105976962551,5,0.22859049920112856,0.0828227474718202,5,ok
random,128,44,5,5,0.8780814520966622,0.01960230555516684,5,0.7334969129803801,0.01642702166934195,5,0.14482328713602347,0.02087842296439414,5,0.23089786907484378,0.07624493391899122,5,0.35089217307402054,0.09011075072721189,5,0.3238400796940294,0.07863208924169039,5,0.238449221683606,0.08525768587600059,5,ok
random,128,45,5,5,0.8806072476025552,0.0162229552997769,5,0.7503055588731715,0.013246294453142498,5,0.13105779417030267,0.015018610364756227,5,0.24597963568095033,0.07625666232104661,5,0.3704975912764963,0.0866558663457643,5,0.31251012946957685,0.07746390313028251,5,0.23476508859424822,0.08675496063763391,5,ok
random,128,46,5,5,0.8292897240192658,0.022248332396730755,5,0.6754917848448401,0.019785058099546775,5,0.1547339573260474,0.02339033229134136,5,0.24906838977717335,0.07296945490425834,5,0.3779080099871826,0.08603960200964483,5,0.3051704261011165,0.07485077290677251,5,0.2211415609645267,0.0791356264757376,5,ok
random,256,42,5,5,0.85124853678288,0.032575233289425534,5,0.6647699925279115,0.057904579481078376,5,0.18746687956958588,0.035683179598954624,5,0.2815572472956692,0.08158174381571055,5,0.4203698437031669,0.09521906732425137,5,0.2762964310475272,0.07675908559238351,5,0.19728051070484423,0.07645340049207758,5,ok
random,256,43,5,5,0.8954258978366851,0.017829014852204447,5,0.7683494082933026,0.02044547573404088,5,0.12795347366536164,0.017471987677558504,5,0.27154441399637197,0.08391045790651498,5,0.40741649749312137,0.0978390395556173,5,0.2814001820823646,0.07512293338443772,5,0.2046189395170058,0.08340125013175757,5,ok
random,256,44,5,5,0.8676183678834668,0.019742033745705708,5,0.7220141934034677,0.016374509878027858,5,0.14611523553568512,0.020232569084640085,5,0.25601319271590367,0.07824605819941138,5,0.38943785282283405,0.09055508626473502,5,0.30161036896468624,0.0808118831590353,5,0.21645533020217572,0.08322507565202306,5,ok
random,256,45,5,5,0.8832573334632382,0.022787996704794335,5,0.7411580995722183,0.03546588732885598,5,0.14311439415424526,0.023102751275564236,5,0.2649521379133674,0.0855636343930077,5,0.3956262562457492,0.09765727638899233,5,0.29936709015733615,0.0852405066327201,5,0.22510971328904553,0.09540765900019382,5,ok
random,256,46,5,5,0.8448929884933657,0.01879082561390705,5,0.7004908620777461,0.015017466071919281,5,0.14539028178830052,0.018492686686226167,5,0.2658715223729505,0.07179100513310235,5,0.40584476273851455,0.08415402571058545,5,0.28150350856864925,0.06782888109474237,5,0.19675737503795857,0.06638970218508465,5,ok
random,384,42,5,5,0.8488556186999044,0.028125637150609065,5,0.6778832801356947,0.04013216987451747,5,0.171975369064314,0.026066856673272278,5,0.2875383368525829,0.08172062471777519,5,0.43018048215429483,0.09365868017708501,5,0.273875267379717,0.07847210143130268,5,0.20024658537439763,0.08681790468044312,5,ok
random,384,43,5,5,0.8730715847592199,0.019552637021934747,5,0.7285132017791882,0.021130187765631993,5,0.14547837300685434,0.01784902341569715,5,0.2795374830055579,0.0864419832538303,5,0.41612845848023444,0.09948183045345858,5,0.27741048908561067,0.07597566928290009,5,0.19645140912023282,0.07853408080498404,5,ok
random,384,44,5,5,0.9935121446078824,0.0011136024174118915,5,0.9855310644729256,0.0015835010236663616,5,0.008017905358592257,0.0012529052417090006,5,0.26155001535566874,0.0783274098875813,5,0.39280853981738917,0.09073417816474368,5,0.30181054188412515,0.08100694419573294,5,0.21568663963387089,0.0827834092567913,5,ok
random,384,45,5,5,0.993553794353239,0.0011439074567548477,5,0.9857921054516353,0.00169386586634628,5,0.007790313590028938,0.0011882054182860815,5,0.264785369903816,0.08121514345698976,5,0.39514296969724805,0.09412339139663335,5,0.3032846605722511,0.08390192500864589,5,0.22485512353479864,0.09504927892978172,5,ok
random,384,46,5,5,0.8432268123472891,0.021234331282518903,5,0.6997573622029779,0.020546147069572297,5,0.14394243706037127,0.021811564885564915,5,0.26812683728060016,0.07698111162972654,5,0.4044541356464893,0.0847904814798509,5,0.2843022090222956,0.07063329212455328,5,0.2026967779018225,0.07487091735403774,5,ok
random,512,42,5,5,0.8421098843313033,0.02851243081201858,5,0.6743212103942385,0.038169722592134296,5,0.1689172799386008,0.025208418584555886,5,0.2889664462156508,0.08414832626426651,5,0.43274823852365846,0.09210188505554082,5,0.2694740781140991,0.07721798880545935,5,0.19425094549934713,0.08039356847413505,5,ok
random,512,43,5,5,0.8708375604691044,0.021605034842254896,5,0.7229193807435432,0.02956990326354606,5,0.14881705928693423,0.021634639975683184,5,0.28207911904193744,0.08741358326312156,5,0.4211848793315018,0.10064841662458927,5,0.2735424947458275,0.07351945958732908,5,0.19204467528289365,0.07308505021409901,5,ok
random,512,44,5,5,0.9918017757900299,0.0013733324193975726,5,0.9822645542756495,0.0016475512406007042,5,0.009583560626323739,0.0013474939616684454,5,0.27242854644059056,0.07781270860394503,5,0.410977441965542,0.08965361053183298,5,0.29068532693751264,0.07583026164310636,5,0.2082162249400731,0.07931179440395647,5,ok
random,512,45,5,5,0.9917260756992524,0.0014056229264652951,5,0.9823288611807666,0.0018864460593390167,5,0.00943773690928223,0.001350833155225141,5,0.27084448784205006,0.08614883642661192,5,0.40669795778660606,0.09610518878261681,5,0.2945561370396367,0.08584086999931193,5,0.21348896205184925,0.08737577669955923,5,ok
random,512,46,5,5,0.8476351939093683,0.022040099937712318,5,0.6968650348367418,0.02578445948913929,5,0.15150318887654843,0.024522358197833008,5,0.27756802928102875,0.07895815661956006,5,0.41613191209818723,0.08885526524558716,5,0.2789799254364219,0.07302851043246153,5,0.19950989045202733,0.07563619250584669,5,ok
random,768,42,5,5,0.8376293857443716,0.026146046511185187,5,0.6711662300543054,0.031044393330883498,5,0.16737011741054322,0.025014473118163936,5,0.2925035907678438,0.08408254030827327,5,0.43775380588572615,0.09225929174225284,5,0.2703511746721785,0.07575195870352326,5,0.19149700449599374,0.07657439464121595,5,ok
random,768,43,5,5,0.8690606051298879,0.02191253885717663,5,0.7169380244278212,0.03230938931783492,5,0.15285324623968563,0.025351969103072677,5,0.2840168124976802,0.08676173877688755,5,0.42459964687778884,0.09828616970217781,5,0.27210369988364,0.07202822660570266,5,0.19349479803154543,0.07508903430537894,5,ok
random,768,44,5,5,0.9878649761792152,0.0020936905739027396,5,0.9739763223485159,0.002494722806909745,5,0.013949550409354607,0.0017114759188028208,5,0.27775267901290646,0.08062186488480926,5,0.41652708957920836,0.09033334969078023,5,0.28704513085059924,0.07701808680363145,5,0.2083060029797977,0.08424388859241252,5,ok
random,768,45,5,5,0.9878612811719216,0.0020145376316873845,5,0.9742602020066847,0.002406814914263666,5,0.01366154255271633,0.0016933720686519106,5,0.27892498977312485,0.08528259818023441,5,0.41817492728032024,0.0943392802002117,5,0.2842661489236691,0.07977129674266287,5,0.20775503371992418,0.0836511110372215,5,ok
random,768,46,5,5,0.9882319863957744,0.0017668633533036771,5,0.9763987827888922,0.0016308665376755912,5,0.011887326188158912,0.001692482773442404,5,0.28197613000463023,0.08050924007091288,5,0.4239065768196125,0.09118976444045518,5,0.2828183719303284,0.07595427342433198,5,0.20028260022642153,0.07699667794536987,5,ok
random,1024,42,5,5,0.8563370429315874,0.02192659207027252,5,0.7015334917979029,0.023418133454606076,5,0.15564873357558057,0.021814213202118644,5,0.2969301280216683,0.08377530006248297,5,0.443335310988367,0.0916447770862199,5,0.26561812849876054,0.07392822412523864,5,0.19081583163670954,0.0759723584748573,5,ok
random,1024,43,5,5,0.8614183040972678,0.024005473027876926,5,0.7029579862824332,0.034771432744508585,5,0.1592658347628167,0.026328685192490056,5,0.2871646375334651,0.08862552437978369,5,0.43172062462614863,0.09893509787691675,5,0.27037650383332384,0.07451285253494917,5,0.1953818328125823,0.0791416290416102,5,ok
random,1024,44,5,5,0.9845220180672983,0.002503813948103727,5,0.9676098067039174,0.00268156339531358,5,0.01698630438475324,0.0020140835017598,5,0.28180715403868434,0.0826752039274131,5,0.42286783298200187,0.09316400593874402,5,0.2815750419518154,0.07571393468279161,5,0.20289963651087978,0.08102019375578302,5,ok
random,1024,45,5,5,0.9845784472265551,0.0025190949397990714,5,0.9672922226318439,0.002709883456107655,5,0.017362419352767423,0.002132658547784014,5,0.2840141500485843,0.08419019851641697,5,0.4255682520411564,0.09465278521161166,5,0.27939603811893404,0.07777082319001713,5,0.19975529287611285,0.07520349988467682,5,ok
random,1024,46,5,5,0.9845854453502163,0.0024124362602590647,5,0.9680872529104023,0.002488095662729126,5,0.016581340727002507,0.0023282255509115366,5,0.2818339381212778,0.08325152211276317,5,0.4236655427918931,0.09348915407932333,5,0.28229373236090083,0.07639303058171346,5,0.20086714512157827,0.07864885476624081,5,ok
