scene,method,dimensions,repeat,contributing_rows,valid_rows,positive_similarity,positive_similarity_std,positive_similarity_count,negative_similarity,negative_similarity_std,negative_similarity_count,similarity_gap,similarity_gap_std,similarity_gap_count,retrieval_voxel_hit,retrieval_voxel_hit_std,retrieval_voxel_hit_count,retrieval_hit_distance,retrieval_hit_distance_std,retrieval_hit_distance_count,retrieval_world_error_mean,retrieval_world_error_mean_std,retrieval_world_error_mean_count,retrieval_world_error_median,retrieval_world_error_median_std,retrieval_world_error_median_count,status
scene0708_00,original,1536,0,31,31,0.97806756342611,0.004216945056895886,31,0.9565136655786677,0.005402550858259077,31,0.021553897847442174,0.0057577759779129075,31,0.33782737110545336,0.11759060401246706,31,0.3974045347712847,0.13552310531881562,31,0.337646165978911,0.17307655517212756,31,0.23788074776530266,0.18628423262982247,31,ok
scene0708_00,pca,128,0,31,31,0.6959582413396528,0.08889267633059339,31,0.37820755206237544,0.14847362799910707,31,0.31775068927727734,0.11013984727417199,31,0.2666507786052762,0.1212902038089755,31,0.32092597299198483,0.13992544901332354,31,0.41009604804204913,0.20621441230728602,31,0.3032854997342633,0.2319586879954155,31,ok
scene0708_00,pca,256,0,31,31,0.6762116964786283,0.08678180987007586,31,0.3551620879539547,0.13752221997590935,31,0.3210496085246736,0.10298464307750271,31,0.30762664125438066,0.12289619201272181,31,0.3589452938202644,0.13174071874802623,31,0.3727036286112029,0.19276208707283332,31,0.2566614136580498,0.2060815938230202,31,ok
scene0708_00,pca,384,0,31,31,0.6665741234056412,0.0859952996533762,31,0.34540500042637984,0.13294514954707615,31,0.3211691229792613,0.1000429406452957,31,0.3234032963744641,0.12462628790856223,31,0.37451915555342813,0.1359990115783296,31,0.35796338542989126,0.1906813116778314,31,0.246481669646117,0.2022656149977077,31,ok
scene0708_00,pca,512,0,31,31,0.6601969561269206,0.08556769677393437,31,0.3392593345514228,0.13038150570715723,31,0.3209376215754979,0.09823611102915918,31,0.329561022621745,0.12517645333446678,31,0.3798041796544714,0.13579836664811745,31,0.3558731621849151,0.19116223318230885,31,0.24608934947079228,0.20469007320500962,31,ok
scene0708_00,pca,768,0,31,31,0.6522332756750046,0.08473693664408417,31,0.33146476092655247,0.12656172165499785,31,0.3207685147484521,0.09609478134256852,31,0.3294918893361865,0.12881274569503914,31,0.38038949961372404,0.14048489823803093,31,0.35291759181065985,0.18957563744256092,31,0.2444856784516765,0.20253032480434247,31,ok
scene0708_00,pca,1024,0,31,31,0.6477372319467606,0.08436194358333407,31,0.3271554462346615,0.12475490790527485,31,0.32058178571209905,0.09507435982315221,31,0.3325232168998765,0.13354029546995222,31,0.3829800272097571,0.14115846331707713,31,0.3489042589981956,0.18606419754807224,31,0.23621348315669644,0.1946913194368906,31,ok
scene0708_00,random,128,42,31,31,0.8963342808908031,0.02867974972000506,31,0.7676453334956429,0.05386102194008639,31,0.12868894739516024,0.04121343794609649,31,0.3060345034963531,0.13548622492565876,31,0.3638913944495808,0.15666631191661046,31,0.3814758526457719,0.21475920105888902,31,0.2755796572854442,0.25130474185944784,31,ok
scene0708_00,random,128,43,31,31,0.8441741524204132,0.03115133713316535,31,0.6945057867172235,0.031171756558385805,31,0.1496683657031895,0.03492164120084239,31,0.2774908089517277,0.12168698380265887,31,0.31969434959307164,0.13581937331721572,31,0.4071200772317651,0.2115475047419085,31,0.2857689874306802,0.23378997012693106,31,ok
scene0708_00,random,128,44,31,31,0.8701099561106774,0.025064859130210324,31,0.738182825893046,0.032101860558900346,31,0.1319271302176317,0.03885835880154514,31,0.2657818378200053,0.1052306161769111,31,0.31189011319506627,0.11234342680576664,31,0.3915628358607195,0.1585994072942635,31,0.2711876923999479,0.1485973013413715,31,ok
scene0708_00,random,128,45,31,31,0.8791634651922411,0.02647061394833468,31,0.7558815828161649,0.03090414030925323,31,0.12328188237607639,0.03591099563727121,31,0.29735467510771796,0.12244869068560137,31,0.34850267358327264,0.14404053639485428,31,0.3799816301802266,0.1856869990239911,31,0.2748047481140783,0.20428427783909137,31,ok
